amazon_asin,amazon price,is_prime,in_stock,ebay_price,ebay_quantity,ebay_id
,,,,,0,332607557312
B01A6UTQK8,,False,True,,0,332616662109
B076GZSZQV,$80.63,True,True,104.39724454649827,2,332616662114
B074PP2XD5,$53.98,True,True,73.80022962112514,2,332616662133
B078KMGC11,$117.95,True,True,147.24454649827786,2,332616662158
B01J4XL1OC,,,False,,0,332616662166
B00RXDBFTW,$67.63,True,True,89.47187141216992,2,332616662168
B01AT3IS8S,,,False,,0,332616662230
B078GVRRC5,,False,True,,0,332616662265
B06WRQVP3V,,,False,,0,332616662280
B00BWTL8W2,,,False,,0,332616662281
B0006VBFM0,$45.45,True,True,64.0068886337543,2,332616662290
B0711MVHVJ,$48.69,True,True,67.72675086107921,2,332616662327
B074PNRFJM,,False,True,,0,332616662386
B01D309TUK,$41.90,True,True,59.931113662456944,2,332616662416
B00AS8RZZ2,$61.11,True,True,81.98622273249138,2,332616662417
B00SRDPR3M,$69.54,True,True,91.67623421354764,2,332616662427
B006R43YS8,$55.48,True,True,75.52238805970148,2,332616662428
B01MT82VX1,$57.02,True,True,77.29047072330656,2,332616662429
B00IS5VU5I,,,False,,0,332616662436
B00F2BNKP4,$45.48,True,True,64.04133180252583,2,332616662447
B073ZGCFLL,,True,True,,0,332616662448
B000MXGJXM,,,,,0,332616662454
B073ZJS7T5,$56.98,True,True,77.24454649827783,2,332616662457
B074PNP8WH,$87.49,True,True,112.27324913892078,2,332616662461
B01DA1EWY0,$83.59,True,True,107.79563719862227,2,332616662468
B0001ZUVAI,,True,True,,0,332616662473
B00F2BNP36,$51.60,True,True,71.06773823191733,2,332616662482
B004OYURK6,$97.96,True,True,124.29391504018369,2,332616662487
B0779KX986,$48.00,True,True,66.9345579793341,2,332616662491
B01C4R3J9A,$71.79,True,True,94.25947187141216,2,332616662492
B00F2BNP0Y,$44.12,True,True,62.479908151549935,2,332616662503
B000KNE14S,$100.45,True,True,127.15269804822044,2,332616662506
B076HCHQJB,,,False,,0,332616662519
B06XDBSXPZ,,False,True,,0,332616662537
B000GZYKIM,$45.49,True,True,64.05281285878301,2,332616662538
B074PMXTV3,$86.45,True,True,111.07921928817451,2,332616662541
B00RXDBXD0,$87.48,True,True,112.26176808266361,2,332616662545
B01M5JIOAE,,,False,,0,332616662547
B004JKOCXS,,,False,,0,332616662550
B00RXDBOFM,$72.00,True,True,94.48909299655568,2,332616662557
B074PL13LD,$48.19,True,True,67.15269804822043,2,332616662559
B011IX2YNI,,,False,,0,332616662560
B01N7R6RIA,,,False,,0,332616662567
B011BI8PCE,$48.22,True,True,67.18714121699196,2,332616662568
B00NL3AMJW,$72.00,True,True,94.48909299655568,2,332616662570
B004JKJ9FO,,False,True,,0,332616662590
B000HGW7F8,$94.99,True,True,120.88404133180252,2,332616662593
B004418O0O,,False,True,,0,332616662594
B01NBU40C5,$81.94,True,True,105.90126291618829,2,332616662599
B00RXDBF60,,,False,,0,332616662601
B01AT3IS7E,$67.50,True,True,89.32261768082664,2,332616662608
B078HFQP6Y,,,False,,0,332616662614
